Full Texts,ID,Name,Email,Phone,Address,Age,Gender,Category,Budget,Payment Method,Password,Created At
User Vanya Dey prefers shopping for Books with a budget of ₹41567.88.,95,Vanya Dey,golashamik@ravi-seth.biz,7582326388,Punjab,54,Male,Books,41567.88,Debit Card,7bf0712fa923a99421c864555e67af2d28c0a23387b72811021e2199c1e7c577,2025-03-03 17:55:01
User Saanvi Kamdar prefers shopping for Others with a budget of ₹17992.95.,96,Saanvi Kamdar,urvideo@deol-dash.info,0852516152,Punjab,41,Male,Others,17992.95,UPI,8f4616dcd3827fd6560bb19ffc9a9974d9228a2698b5ffc69edc3c25d66638e2,2025-03-18 17:55:01
User Ivana Shroff prefers shopping for Beauty with a budget of ₹16274.81.,97,Ivana Shroff,walipriyansh@ghosh-sharma.biz,0594934642,Maharashtra,31,Female,Beauty,16274.81,Credit Card,5e8fcaf5b57ab25eb3fdd3183f3c1c76f3ad77d8da0b606cde027567ee90124e,2025-03-03 17:55:01
User Damini Ravel prefers shopping for Home & Kitchen with a budget of ₹38290.97.,98,Damini Ravel,miraya73@kurian-chaudhry.net,+916612649,Punjab,60,Female,Home & Kitchen,38290.97,Debit Card,bc173639b7d5bdda8f736da4bc212b3613cfecedf347ab448a1c80efb911151c,2025-03-25 17:55:01
User Damini Char prefers shopping for Clothing with a budget of ₹7041.65.,99,Damini Char,veer67@iyengar.com,0244424852,Delhi,56,Female,Clothing,7041.65,Cash on Delivery,8c87b671289558ca2f25a868bf59ff80c985fd4f550ca96f581f1e8bc8fbfda3,2025-03-10 17:55:01
User Keya Rana prefers shopping for Home & Kitchen with a budget of ₹37943.65.,100,Keya Rana,rrana@dhingra-kata.com,7377230166,Rajasthan,32,Male,Home & Kitchen,37943.65,Cash on Delivery,4a2a86e6f21a570033268bc09f166d378460f6bcaf5d510073c29163dd3d258a,2025-03-31 17:55:01
User Advika Choudhary prefers shopping for Electronics with a budget of ₹32494.64.,101,Advika Choudhary,rajagopalmohanlal@sagar.com,1030655948,Goa,45,Male,Electronics,32494.64,PayPal,46a7b38a8bc057de2aea99fc86e3cbe96a748c43e9375115a38d439da8d2a5a1,2025-03-14 17:55:01
User Kiaan Jayaraman prefers shopping for Books with a budget of ₹11178.36.,102,Kiaan Jayaraman,brout@kapur.info,0440049059,Tamil Nadu,55,Male,Books,11178.36,UPI,4c0a0a6502bdc1aa6e00b947e5cbcb442519fa9ffc48343fbc7d43ec71d2ad28,2025-03-31 17:55:01
User Abram Krishnan prefers shopping for Books with a budget of ₹9780.77.,103,Abram Krishnan,zchahal@kadakia.com,7191928818,Punjab,41,Female,Books,9780.77,Debit Card,accde395e7060ef0fc676b8796e5e4cdf9c115d0dd29f1c701a3e91eb0caaa2f,2025-03-17 17:55:01
User Tarini Konda prefers shopping for Books with a budget of ₹8063.42.,104,Tarini Konda,malhotraadira@gmail.com,+911313531,Goa,53,Male,Books,8063.42,Cash on Delivery,1f004b17e9cf0d920ae9d1bb75758453b8d6fce370c2fcb5aeeff74188f79b07,2025-03-17 17:55:01
User Samar Mall prefers shopping for Books with a budget of ₹7272.4.,105,Samar Mall,kibemadhup@comar-deep.info,2181613455,West Bengal,49,Female,Books,7272.4,PayPal,7d1f6b22a8ad8da8e5aab9e9774ca7f32916de50fa2e6f4bad2f99b71d38b3dc,2025-03-23 17:55:01
User Aarav Lata prefers shopping for Clothing with a budget of ₹13676.18.,106,Aarav Lata,vgala@gade.com,+916719458,Karnataka,54,Female,Clothing,13676.18,UPI,85aacf8043951a5508479d64c9f60502afcd8037dc8c76713158d0f80b1a0634,2025-03-04 17:55:01
User Gokul Chaudry prefers shopping for Home & Kitchen with a budget of ₹20035.33.,107,Gokul Chaudry,goswamiamani@hotmail.com,0926468220,Uttar Pradesh,19,Male,Home & Kitchen,20035.33,UPI,e4072ad3d45f895e0309c5c94350b8243be344ab85ea8422b4799e159d901805,2025-03-06 17:55:01
User Madhav Batra prefers shopping for Home & Kitchen with a budget of ₹24537.86.,108,Madhav Batra,xkara@yahoo.com,+916034277,Goa,56,Male,Home & Kitchen,24537.86,PayPal,c327148a1bbde17a03d6b4266b35ffe1fe2e188bf26162970b15dbb252698409,2025-03-19 17:55:01
User Dharmajan Goda prefers shopping for Beauty with a budget of ₹21556.78.,109,Dharmajan Goda,behlurvi@bhat.net,1443926816,Madhya Pradesh,47,Female,Beauty,21556.78,Cash on Delivery,deebd634fd9c97d8d633bb712f41d3666ddbe5bd4f1ab7a44ffe32a69f7027cf,2025-03-12 17:55:01
User Darshit Dugal prefers shopping for Home & Kitchen with a budget of ₹1698.97.,110,Darshit Dugal,adiragulati@hotmail.com,0124935298,Goa,32,Male,Home & Kitchen,1698.97,UPI,5a25f575b761d3689afc0d538190437123d31ed5df3285d3fb0d21add3b2bdef,2025-03-11 17:55:01
User Vanya Shenoy prefers shopping for Electronics with a budget of ₹14088.49.,111,Vanya Shenoy,seher95@hotmail.com,5666853438,Tamil Nadu,20,Male,Electronics,14088.49,PayPal,7c0846953ad5316094e5f345bedde58cc2f4ad76aeb540a763cf65f6a264ca3a,2025-03-12 17:55:01
User Rohan Chaudhry prefers shopping for Others with a budget of ₹44122.17.,112,Rohan Chaudhry,devansh79@bali.net,+919909424,Madhya Pradesh,45,Female,Others,44122.17,Debit Card,df3c4a6c006546f4f8347fd34120c2b2e213b1e6172a62f9d6b1d3ca72b7b922,2025-03-07 17:55:01
User Mehul Desai prefers shopping for Electronics with a budget of ₹33631.12.,113,Mehul Desai,barianayantara@yahoo.com,9826998713,Uttar Pradesh,31,Female,Electronics,33631.12,Cash on Delivery,8b75f134cc61acfa2877e4cc39ea18e821d61e70df05f0806e5ef65af6c5e28a,2025-03-07 17:55:01
User Purab Sekhon prefers shopping for Others with a budget of ₹28221.71.,114,Purab Sekhon,misha39@yahoo.com,+915297069,Gujarat,24,Male,Others,28221.71,Debit Card,79565485aeca7feddeae6005d13f6a8295571fd9c1fd614640959a772463f62b,2025-03-24 17:55:01
User Riya Krishnan prefers shopping for Others with a budget of ₹9318.45.,115,Riya Krishnan,dharmisha@rao.com,7403865872,Delhi,59,Female,Others,9318.45,Credit Card,d5652d789979040726f38f4a2be3c6f2642c22bda9c21432bb9e47c25c84704b,2025-03-24 17:55:01
User Farhan Bala prefers shopping for Books with a budget of ₹17229.23.,116,Farhan Bala,nde@yahoo.com,0185427371,Tamil Nadu,47,Male,Books,17229.23,Cash on Delivery,c7b7235baf6de3bdf18b12ccdd67ff31de200827ff0608f0b3b902c9e4f5f0e3,2025-04-01 17:55:01
User Abram Date prefers shopping for Books with a budget of ₹44436.3.,117,Abram Date,siya72@sandal.biz,1650007271,Rajasthan,22,Female,Books,44436.3,Credit Card,0870c6b6d32ceca54c45a97d01a2d289a0ba9ebfe918c737482b2b2d1f452df9,2025-03-03 17:55:01
User Azad Tank prefers shopping for Beauty with a budget of ₹40920.87.,118,Azad Tank,zlall@hotmail.com,7696129745,Maharashtra,23,Female,Beauty,40920.87,Credit Card,83d2f2f0327f3299ddf2e49a8caf1719b9ab7f7dcbaa9cabc040000b26e8fa81,2025-03-03 17:55:01
User Kimaya Kapadia prefers shopping for Clothing with a budget of ₹36273.21.,119,Kimaya Kapadia,indranilsharma@gmail.com,+913234755,Rajasthan,29,Male,Clothing,36273.21,PayPal,9b96d3b1c53a64efc53b2c70ac81c5f2361f95091c969f782ecb1931c97dbb5a,2025-03-31 17:55:01
User Aaryahi Gole prefers shopping for Home & Kitchen with a budget of ₹5984.53.,120,Aaryahi Gole,doctoreva@gmail.com,1729094506,Karnataka,19,Female,Home & Kitchen,5984.53,Cash on Delivery,de8921e9d132cd84a1ce889792916592a88274dd353c82c62515f16ede8ee3dd,2025-03-23 17:55:01
User Heer Loke prefers shopping for Others with a budget of ₹37228.39.,121,Heer Loke,akarsh59@gmail.com,5394124243,West Bengal,19,Male,Others,37228.39,Cash on Delivery,c20ce65ba9549092a7cc09599652f606ccda6025779b8927302575fe2e220996,2025-03-08 17:55:01
User Akarsh Ramakrishnan prefers shopping for Home & Kitchen with a budget of ₹28066.27.,122,Akarsh Ramakrishnan,vritikachokshi@ahuja-raman.com,0815682700,Delhi,52,Female,Home & Kitchen,28066.27,Debit Card,728a8cf5541295c6ff0f11da37d0c21ab1ce7a5537d561c7d1485b09e7afee15,2025-03-08 17:55:01
User Aniruddh Vig prefers shopping for Clothing with a budget of ₹46310.48.,123,Aniruddh Vig,mannat69@rama.com,5759377823,Maharashtra,43,Female,Clothing,46310.48,Credit Card,c59f84ace8644d66a15a0384cfa455fe16fefd786630620dd3d221f3af83cfb1,2025-03-09 17:55:01
User Ritvik Swaminathan prefers shopping for Electronics with a budget of ₹35244.21.,124,Ritvik Swaminathan,madanmiraya@buch.com,+917602301,Karnataka,50,Female,Electronics,35244.21,Debit Card,0825b2ff94020d9969a6da00a46de394ce88f9f558604fa7e119ffb58176f54d,2025-03-19 17:55:01
User Zeeshan Baria prefers shopping for Home & Kitchen with a budget of ₹20959.09.,125,Zeeshan Baria,keercharvi@raval.biz,3587409956,Goa,50,Female,Home & Kitchen,20959.09,Cash on Delivery,97f1c405dd2f841b68add651cd2c8bdbc5abc78c2e96b1333aab1200d5823187,2025-03-29 17:55:01
User Damini Bhagat prefers shopping for Books with a budget of ₹21762.32.,126,Damini Bhagat,dhruvsinghal@gmail.com,0033482071,Rajasthan,57,Female,Books,21762.32,PayPal,e008784708ad389ea4650ca3adef098c75f9f7d8edd1ecd531d60bb47ac8a255,2025-03-16 17:55:01
User Vihaan Vohra prefers shopping for Clothing with a budget of ₹32104.34.,127,Vihaan Vohra,eshani54@gmail.com,+910770384,Delhi,24,Male,Clothing,32104.34,PayPal,61a563d4da1870be377774ebe416dddbc683c371482950dc6942e468a4055427,2025-03-30 17:55:01
User Siya Vora prefers shopping for Books with a budget of ₹49336.67.,128,Siya Vora,sibalfateh@hotmail.com,0325057093,Uttar Pradesh,60,Male,Books,49336.67,Cash on Delivery,8cd33dd6f248070039637b23bb1f33555c7cb6e2245bbf0e2ecea65406134c1f,2025-03-11 17:55:01
User Akarsh Wable prefers shopping for Electronics with a budget of ₹14900.61.,129,Akarsh Wable,drishya89@balasubramanian.com,0958766330,Gujarat,56,Male,Electronics,14900.61,UPI,eb28c29dc8e55bbe2dfcbe2b8d0136fd133503132b8c1edbe89cbde3463bb909,2025-03-11 17:55:01
User Indrajit Talwar prefers shopping for Home & Kitchen with a budget of ₹29119.07.,130,Indrajit Talwar,gokuldeol@hotmail.com,0370058447,Punjab,57,Male,Home & Kitchen,29119.07,Debit Card,9042ac659756d52d790766ea43fdb1888e5bcdc652d49bb5a7c389fe2a6cba8b,2025-03-15 17:55:01
User Chirag Manda prefers shopping for Others with a budget of ₹34825.29.,131,Chirag Manda,jbarad@yahoo.com,5556138849,Punjab,41,Male,Others,34825.29,UPI,55a407d0bb666b6a75b16cc0bbf9297bb204d2928c2cae8f65912bbd57d4f1f7,2025-03-04 17:55:01
User Shanaya Upadhyay prefers shopping for Clothing with a budget of ₹16023.21.,132,Shanaya Upadhyay,kashvi36@gmail.com,0907996081,Tamil Nadu,33,Female,Clothing,16023.21,UPI,ef2081e0fab1e0d28083e0b73b3545cbad9a8c88b983c23aa69ae9a3766d67e5,2025-03-05 17:55:01
User Kartik Chaudhuri prefers shopping for Books with a budget of ₹4315.98.,133,Kartik Chaudhuri,samaraggarwal@gmail.com,0260860887,Karnataka,54,Male,Books,4315.98,Cash on Delivery,8adbe6b472b61fab84778c56e834b7f2c98a7526d0b25e0d0c191545a330ab36,2025-03-11 17:55:01
User Aarav Keer prefers shopping for Beauty with a budget of ₹12004.15.,134,Aarav Keer,tushar40@hotmail.com,+912944372,Haryana,40,Male,Beauty,12004.15,UPI,a2da5ee3642427515cd8e53248c1d01819b61da222d45281eb8a5cfaf18c398f,2025-03-04 17:55:01
User Ivan Kapoor prefers shopping for Home & Kitchen with a budget of ₹15846.4.,135,Ivan Kapoor,indrajitsagar@hotmail.com,3725454125,Tamil Nadu,30,Male,Home & Kitchen,15846.4,Debit Card,d0190e21aeca509d40b0a5fac451c4d09db8e1d487f02d126566e87d32d40934,2025-03-23 17:55:01
User Badal Chowdhury prefers shopping for Home & Kitchen with a budget of ₹23473.13.,136,Badal Chowdhury,ahujatiya@hotmail.com,0053674399,Tamil Nadu,56,Female,Home & Kitchen,23473.13,Credit Card,fee790223e7091b7bb212f1d1cbae9258833cd429484b4c6a4e24c108bf1f71a,2025-03-22 17:55:01
User Indrans Bansal prefers shopping for Electronics with a budget of ₹47078.32.,137,Indrans Bansal,nakul42@hans.com,0374237457,Delhi,48,Female,Electronics,47078.32,Cash on Delivery,8787599654daa98e2d9bae70c54f74c0f5f8e8869ac23e1779a7cc3ee0f310ea,2025-03-02 17:55:01
User Oorja Mand prefers shopping for Clothing with a budget of ₹33656.02.,138,Oorja Mand,sanasangha@bhandari.com,2427237373,Tamil Nadu,43,Female,Clothing,33656.02,Cash on Delivery,e26b5238cfe96d4787dd7631b5e22dac6896aacc1bfa848e55372f096765e3d7,2025-04-01 17:55:01
User Riya Tella prefers shopping for Clothing with a budget of ₹17399.62.,139,Riya Tella,saksham42@issac.net,+918111010,Madhya Pradesh,52,Male,Clothing,17399.62,Debit Card,54be707d6b5890b7458388d8f5fa49698559fe2c7098926eed9bf7899c1b40c2,2025-03-13 17:55:01
User Misha Balakrishnan prefers shopping for Home & Kitchen with a budget of ₹4336.62.,140,Misha Balakrishnan,issacinaaya@raval.org,+912835892,Goa,22,Male,Home & Kitchen,4336.62,Credit Card,0514f5a4e5179c359c106aa575e6659190b3641522683e1d47ea9d46a7fe37e8,2025-03-11 17:55:01
User Anahi Vala prefers shopping for Others with a budget of ₹14589.14.,141,Anahi Vala,urvibera@yahoo.com,0790060996,Punjab,40,Female,Others,14589.14,UPI,1f801620c6307f7e163a07c4855bcff08fd289fa155be0fba744757f1ef8fab0,2025-03-24 17:55:01
User Raghav Ahluwalia prefers shopping for Others with a budget of ₹2897.46.,142,Raghav Ahluwalia,wjayaraman@jha.com,+914070167,Delhi,41,Male,Others,2897.46,Cash on Delivery,5d6ec72ce485e472cdb18e2fad71d1a891ad9d8bdceec1ebb2310379fd27e6ea,2025-03-07 17:55:01
User Amira Bali prefers shopping for Electronics with a budget of ₹28834.18.,143,Amira Bali,uthkarshmangat@hans.com,+919798797,Karnataka,34,Male,Electronics,28834.18,Debit Card,0fd72677b1cb15a62b6b73d10539391a4fbbf856439c45b41a4b73769eeb5374,2025-03-04 17:55:01
User Aarav Divan prefers shopping for Beauty with a budget of ₹10294.39.,144,Aarav Divan,alia12@lalla.com,+917023401,Rajasthan,24,Male,Beauty,10294.39,Cash on Delivery,c9a818f58ee59efca2c74fe6fbbf741f2d31389e95508f904d325109e855bb2b,2025-03-22 17:55:01
User Neysa Kakar prefers shopping for Clothing with a budget of ₹12858.53.,145,Neysa Kakar,kabir62@bahl.com,6119935987,Delhi,52,Female,Clothing,12858.53,UPI,bd892932a91f40d354f86a53439ff91a3fba9e73704fe74c1a14300d8ae4ae22,2025-03-03 17:55:01
User Khushi Bail prefers shopping for Electronics with a budget of ₹19087.35.,146,Khushi Bail,zchatterjee@kunda.com,+918162072,Haryana,34,Female,Electronics,19087.35,Credit Card,2c73c0933aae16604822bd9989fbd5f21e9704af5f23e715910c59d5a9a0e9d6,2025-03-27 17:55:01
User Mehul Aggarwal prefers shopping for Others with a budget of ₹29900.03.,147,Mehul Aggarwal,chauhankiara@gmail.com,0720952858,Madhya Pradesh,25,Male,Others,29900.03,Debit Card,7ea242e56679c5614d2a920700e5ff8f77bdd31c6c12c2c1265fba86b4778b31,2025-03-14 17:55:01
User Farhan Krishnan prefers shopping for Electronics with a budget of ₹35277.47.,148,Farhan Krishnan,ivanasinha@gmail.com,4840101479,Gujarat,30,Female,Electronics,35277.47,Debit Card,099427e165c8870bff1f5ec4a9c5e1822d68c04a1c186cc0c624fcc8a9dad0df,2025-03-13 17:55:01
User Keya Mahajan prefers shopping for Home & Kitchen with a budget of ₹2883.96.,149,Keya Mahajan,jhanviyogi@hotmail.com,0355745244,Rajasthan,27,Female,Home & Kitchen,2883.96,UPI,31146015cc65e9f2a1088acf388e29c37959f719caa38b92c59c22400d7490a6,2025-03-12 17:55:01
User Bhavin Deshmukh prefers shopping for Beauty with a budget of ₹22899.76.,150,Bhavin Deshmukh,takdishani@ramanathan-dutta.com,2739723107,Delhi,37,Male,Beauty,22899.76,Debit Card,2eecb3fa4692c572de7d333f8cc5f6943fed0d843245c65f362d9bd9747716ff,2025-03-05 17:55:01
User Kaira Dugar prefers shopping for Clothing with a budget of ₹7607.59.,151,Kaira Dugar,badaldalal@yahoo.com,+919618356,Delhi,53,Female,Clothing,7607.59,UPI,04c650cdfacc9b4b08f133b46534811e10b365655ff559beb8e97cb66880fdf1,2025-03-27 17:55:01
User Pari Sani prefers shopping for Electronics with a budget of ₹40592.47.,152,Pari Sani,bhatsahil@sastry.com,3229922243,Rajasthan,21,Female,Electronics,40592.47,Credit Card,98b5fc8ee531df635d5ce192d7b9da2761aff790dc23b43b4d995a954825954b,2025-03-19 17:55:01
User Adira Chandra prefers shopping for Others with a budget of ₹41728.34.,153,Adira Chandra,mannatkannan@hotmail.com,+916698341,Tamil Nadu,32,Female,Others,41728.34,PayPal,bbc389ea1ecbabc0060bba1a166b7b5124c613513fad6931821f4cf4190bd3cf,2025-03-23 17:55:01
User Saanvi Ahuja prefers shopping for Beauty with a budget of ₹19829.29.,154,Saanvi Ahuja,rohan07@hayer.com,+914889439,Karnataka,58,Male,Beauty,19829.29,Cash on Delivery,8b3d6894c6ce91e01eb533c73cf0cfb17c55113c535bf51734df462196bea483,2025-03-29 17:55:01
User Pranay Khatri prefers shopping for Home & Kitchen with a budget of ₹21547.4.,155,Pranay Khatri,jayantlal@gmail.com,+910409289,Tamil Nadu,58,Female,Home & Kitchen,21547.4,Credit Card,71256d47a14bdf0c52555a7621f5703c693811471b69c832aa82d6c3ab96e95c,2025-03-06 17:55:01
User Abram Barad prefers shopping for Electronics with a budget of ₹17582.39.,156,Abram Barad,samihabajaj@bose.net,3812890703,Tamil Nadu,32,Male,Electronics,17582.39,Cash on Delivery,975c7b0947abdda87f7e481a52a66152eebef515341ca780f584b55096eabcdc,2025-03-04 17:55:01
User Yakshit Sagar prefers shopping for Beauty with a budget of ₹36041.68.,157,Yakshit Sagar,bhaminisha@hotmail.com,0369836110,Karnataka,55,Female,Beauty,36041.68,PayPal,c952d4523aa05330504c57f7aa9d46713372bdf028516e631ce541b121f2b597,2025-03-08 17:55:01
User Aarush Balay prefers shopping for Beauty with a budget of ₹1799.86.,158,Aarush Balay,bhallaryan@gmail.com,1224971814,West Bengal,20,Male,Beauty,1799.86,UPI,253c98191532886ed1ebff7de56b4251483f925b2c215bedd5633b7541e4f106,2025-03-30 17:55:01
User Charvi Malhotra prefers shopping for Clothing with a budget of ₹19495.98.,159,Charvi Malhotra,lchahal@joshi-chatterjee.com,0539279142,Haryana,46,Female,Clothing,19495.98,Cash on Delivery,2d108cdb4dcf7d1ea05d167c29ef07341acaf89088c9aeffa1dae61ad8f7daa2,2025-03-11 17:55:01
User Vedika Cheema prefers shopping for Beauty with a budget of ₹44188.85.,160,Vedika Cheema,mdatta@gupta-gera.com,+918200162,Madhya Pradesh,44,Male,Beauty,44188.85,Cash on Delivery,30846c5a2684bd550bb1eeb6823902d0a088e1db2dcfd883c081a44dcc6bc8ec,2025-03-02 17:55:01
User Vihaan Dubey prefers shopping for Home & Kitchen with a budget of ₹10239.64.,161,Vihaan Dubey,navya07@gmail.com,7803420413,Gujarat,52,Female,Home & Kitchen,10239.64,Credit Card,6ada7c057dbdc642b1f8cd68e7a5069985d8db872af4cb7055777d65afb2d633,2025-03-23 17:55:01
User Dishani Doshi prefers shopping for Clothing with a budget of ₹49449.05.,162,Dishani Doshi,chiragbir@lad.info,+916217437,Uttar Pradesh,50,Female,Clothing,49449.05,Cash on Delivery,489fd08cb1920ad529fd5f858c104be676c5e9bdbb2d3bf11fc4526852833f4c,2025-03-31 17:55:01
User Umang Lanka prefers shopping for Beauty with a budget of ₹24746.05.,163,Umang Lanka,darshit88@hotmail.com,9615147624,Gujarat,54,Female,Beauty,24746.05,Credit Card,8a3031bafa2e38ae446944776d8de5370fcf3b6267b6830e76037efb4402020d,2025-03-03 17:55:01
User Shamik Bahri prefers shopping for Clothing with a budget of ₹2004.58.,164,Shamik Bahri,badalgokul@yahoo.com,0582216280,Gujarat,30,Female,Clothing,2004.58,PayPal,c0a19c63d50a8c51212fed2547372a1fdac936faaf8018f50907874bf445c85b,2025-03-04 17:55:01
User Chirag Bali prefers shopping for Others with a budget of ₹4991.67.,165,Chirag Bali,amanichada@yahoo.com,+914708513,Rajasthan,35,Female,Others,4991.67,UPI,2c362c6dd620a831616b642aa0f4dbafc01a3f691f1062ec3d435bd384416385,2025-03-15 17:55:01
User Samiha Bansal prefers shopping for Others with a budget of ₹18854.3.,166,Samiha Bansal,aryajayesh@jani.com,+917279257,Goa,47,Female,Others,18854.3,Cash on Delivery,fb6d62914b2fbfb30fe1289d510478683d6217a9813ac5ae51dd5c81254883ac,2025-03-12 17:55:01
User Vihaan Kanda prefers shopping for Books with a budget of ₹20182.52.,167,Vihaan Kanda,farhan49@magar.com,2495383693,Rajasthan,39,Male,Books,20182.52,Credit Card,c4585bea1a2448d17bdac199a791986a5d5048cd7c0c44081e407ac20942eb7f,2025-03-04 17:55:01
User Uthkarsh Sule prefers shopping for Clothing with a budget of ₹31270.24.,168,Uthkarsh Sule,pranayravel@hotmail.com,0010115958,West Bengal,58,Female,Clothing,31270.24,Cash on Delivery,94c716fc71cee7816e4227102b05f43a52361a3a93ff9b9a6137699775d38b6a,2025-03-20 17:55:01
User Ishita Krishnamurthy prefers shopping for Others with a budget of ₹45117.51.,169,Ishita Krishnamurthy,devanyashvi@sarraf-som.com,+918533903,Goa,49,Male,Others,45117.51,Credit Card,bda5baa6b1bf95740a01a2894dee344530812d473776fbd56bdee680fc9e14cf,2025-03-03 17:55:01
User Aaryahi Basak prefers shopping for Beauty with a budget of ₹41254.84.,170,Aaryahi Basak,uchana@gmail.com,+914837480,Karnataka,25,Female,Beauty,41254.84,UPI,fa79539360d064a051731fb69a9c77be8054faea1ce23716e3298aa4f221e4bf,2025-03-19 17:55:01
User Ishaan Sura prefers shopping for Electronics with a budget of ₹28863.66.,171,Ishaan Sura,miraansaha@hotmail.com,0380078593,Delhi,22,Male,Electronics,28863.66,Credit Card,56d3f9f2b124410c9640f241d28a1c9d0fea9eac16bf044c90a7878d095e7359,2025-03-06 17:55:01
User Kiaan Dhar prefers shopping for Clothing with a budget of ₹16159.68.,172,Kiaan Dhar,gbumb@baral.org,+911909281,Gujarat,59,Male,Clothing,16159.68,Cash on Delivery,589dfad0d839d99076e27f89656280f965f1a1fb2053d575fb113861e86c9101,2025-03-17 17:55:01
User Vardaniya Basak prefers shopping for Home & Kitchen with a budget of ₹44375.93.,173,Vardaniya Basak,shaansodhi@hotmail.com,7203159806,Karnataka,30,Male,Home & Kitchen,44375.93,Credit Card,7fffd8ec6e0a352ab3ed5867ea2450eb31977a09a9e256ae6693e9756c3151d0,2025-03-22 17:55:01
User Nehmat Dube prefers shopping for Home & Kitchen with a budget of ₹31006.28.,174,Nehmat Dube,gsachdeva@tella-sachdev.biz,+917548844,Haryana,39,Male,Home & Kitchen,31006.28,Cash on Delivery,088048ea575dbc027c2eb93808c4d289a4f568c6aa789baebdfa6fde1b43ab1b,2025-03-23 17:55:01
User Mamooty Balakrishnan prefers shopping for Clothing with a budget of ₹22259.32.,175,Mamooty Balakrishnan,pkhalsa@hotmail.com,+914991644,Karnataka,21,Male,Clothing,22259.32,Debit Card,c578a4625524aa1026cc03ed43913c1fe9bd70cd99803868a3282ceb66fa9752,2025-03-07 17:55:01
User Elakshi Bobal prefers shopping for Others with a budget of ₹46944.59.,176,Elakshi Bobal,reneeedwin@gmail.com,+915980223,Punjab,23,Female,Others,46944.59,PayPal,668410b5aa867cb453dc6cbd1618df3e2d4f28b9b80a89b7212a68221eec308f,2025-03-02 17:55:01
User Rohan Mane prefers shopping for Home & Kitchen with a budget of ₹40258.17.,177,Rohan Mane,pranaybaria@sami.com,0651509502,Haryana,41,Female,Home & Kitchen,40258.17,UPI,ee07c53879a864a54f4173a54a7b002947338b55716c06ebad5e9b6bf98b0ec0,2025-03-09 17:55:01
User Advika Mammen prefers shopping for Clothing with a budget of ₹27955.25.,178,Advika Mammen,fupadhyay@yahoo.com,0844853652,Haryana,55,Female,Clothing,27955.25,UPI,d048cc388edeed501411a80825784ba26c5b6062e907afb849f0762f576706d7,2025-03-03 17:55:01
User Devansh Singh prefers shopping for Electronics with a budget of ₹37324.56.,179,Devansh Singh,renee01@yahoo.com,4520838528,West Bengal,45,Female,Electronics,37324.56,Cash on Delivery,dd0c28b88ec7aba70cf87b79d4bbd0c260a410ec9b027fac8a9f35d0d8aa6ead,2025-03-03 17:55:01
User Jivin Kulkarni prefers shopping for Clothing with a budget of ₹12469.84.,180,Jivin Kulkarni,zeeshandeshpande@hotmail.com,0152712225,Uttar Pradesh,26,Female,Clothing,12469.84,Cash on Delivery,98ae57e42ee95ce2f2865b1e76405754f08cd5df0a8eff9774086eb983f6aed8,2025-03-02 17:55:01
User Divit Doctor prefers shopping for Home & Kitchen with a budget of ₹41003.77.,181,Divit Doctor,vanyasubramaniam@gmail.com,+911761119,Rajasthan,31,Male,Home & Kitchen,41003.77,Credit Card,83705b1d296e144f286354cf7d24b0bcc06520d43c50f62291d40837201f4024,2025-04-01 17:55:01
User Dharmajan Shenoy prefers shopping for Clothing with a budget of ₹26199.63.,182,Dharmajan Shenoy,yasmin91@yahoo.com,9545955206,Maharashtra,47,Female,Clothing,26199.63,PayPal,241144e9a937ef6116421a24d34c9b30463e174b0834d0e52ebe8271f146e7bc,2025-04-01 17:55:01
User Nirvaan Karnik prefers shopping for Clothing with a budget of ₹18736.71.,183,Nirvaan Karnik,umangdalia@hotmail.com,4987420165,Madhya Pradesh,27,Female,Clothing,18736.71,Credit Card,553b1e8957a9e3befe2168545fdf98d6e2b11197d7fa495950feea1543c3034a,2025-03-27 17:55:01
User Ryan Shukla prefers shopping for Others with a budget of ₹41609.32.,184,Ryan Shukla,kashvi26@garde-taneja.info,+919542341,Tamil Nadu,50,Male,Others,41609.32,Credit Card,12fd420c100907dbd91cab9a8fab895bad12ded5c1d51a0817967010f9e6189c,2025-03-03 17:55:01
User Indranil Joshi prefers shopping for Electronics with a budget of ₹20054.86.,185,Indranil Joshi,cverma@sinha.biz,0702156010,Rajasthan,38,Male,Electronics,20054.86,UPI,b8f26fd2f444e43b0346abe302cb730ee35e3b34501100298f2d90a7a53b3dc0,2025-03-30 17:55:01
User Lavanya Zachariah prefers shopping for Clothing with a budget of ₹33430.5.,186,Lavanya Zachariah,damini31@raj-bajwa.com,0125665655,Haryana,25,Female,Clothing,33430.5,PayPal,cbacb1165f2a5c4b5c76973d0fcc242c2966383b001c8143fd1faf4de0c1b05e,2025-03-30 17:55:01
User Manikya Anne prefers shopping for Others with a budget of ₹15962.06.,187,Manikya Anne,cmall@sastry.info,7509558420,Gujarat,24,Female,Others,15962.06,PayPal,623f85402ffcfc9fb2f5f20bf72e404111889b4335518d1b66916e707d97ae85,2025-03-09 17:55:01
User Ahana  Sharaf prefers shopping for Clothing with a budget of ₹45932.49.,188,Ahana  Sharaf,ptripathi@majumdar-sibal.com,+916854041,Gujarat,43,Female,Clothing,45932.49,Credit Card,d2ffe7b34f5a460e04d59a7ebc4fccae7c71e2c5b76538df60be34876910be99,2025-03-04 17:55:01
